min_temp,max_temp,humidity,pressure
18.49,34.66,34.74,98.56
18.04,33.63,36.11,98.73
15.83,31.54,37.59,98.83
14.12,32.83,32.91,98.8
15.65,35.06,26.63,98.88
15.87,36.06,25.87,99.0
15.6,35.24,26.81,98.92
18.14,33.88,22.56,98.84
15.22,35.63,20.84,98.98
15.6,37.05,17.23,98.92
17.29,38.6,19.38,98.53
21.71,40.1,19.44,98.25
21.65,39.51,19.25,98.2
17.96,36.4,11.72,98.45
13.43,31.35,10.3,98.51
15.61,35.76,11.33,98.56
14.11,37.1,12.65,98.58
15.4,36.57,16.39,98.5
18.59,38.55,13.08,98.6
20.28,39.25,11.41,98.67
21.67,39.5,14.3,98.61
18.51,38.44,19.24,98.4
19.49,40.69,16.07,98.24
21.77,41.75,16.86,98.39
22.75,41.42,16.94,98.59
22.97,41.57,22.7,98.38
25.2,40.46,26.03,97.93
23.55,39.73,33.81,97.88
20.75,37.07,37.59,98.24
22.49,38.51,28.17,98.4
22.44,38.33,25.88,98.42
23.42,38.45,29.1,98.45
24.36,39.62,27.42,98.3
24.68,41.78,25.1,98.03
23.88,42.65,25.63,97.89
25.11,41.9,29.96,97.95
24.25,41.68,27.35,97.95
26.13,42.4,15.3,98.21
20.65,42.57,8.6,98.34
22.5,41.95,11.75,98.09
23.0,42.74,6.93,97.92
23.65,43.78,8.1,97.96
26.57,43.69,9.49,97.99
24.54,42.24,12.17,98.15
23.41,41.97,15.72,98.06
22.96,39.09,23.65,98.17
23.52,39.22,30.42,98.3
24.78,38.84,33.83,98.41
24.98,34.18,51.26,98.49
23.34,35.27,52.19,98.21
22.96,37.1,47.06,98.05
22.11,36.69,51.07,98.19
23.89,35.12,41.23,98.16
25.27,36.7,42.05,98.08
25.45,37.49,43.49,98.14
25.22,37.27,42.01,98.24
25.59,38.14,44.7,98.17
26.18,40.14,41.14,98.02
27.07,41.42,32.25,97.95
27.39,41.87,37.81,97.93
26.44,42.02,37.71,97.93
26.46,43.2,27.46,97.9
28.75,44.93,25.4,97.79
27.83,43.88,26.85,97.76
27.62,44.43,27.74,97.75
26.97,43.36,23.43,97.8
28.54,44.48,25.06,97.61
29.8,44.38,24.03,97.67
24.59,37.09,44.63,97.82
25.82,39.92,38.75,97.66
27.19,39.99,37.73,97.66
26.72,35.24,54.34,97.98
26.53,38.05,48.46,97.83
26.06,39.39,41.29,97.6
27.54,39.8,45.99,97.44
28.16,40.77,42.33,97.22
27.13,40.35,42.26,97.16
27.38,41.16,33.24,97.4
26.23,40.76,40.29,97.49
24.41,38.25,46.42,97.51
25.44,36.93,39.17,97.77
24.6,36.63,39.34,98.03
25.3,38.43,38.34,98.26
25.94,39.83,34.1,98.18
26.33,41.56,31.95,98.0
28.81,44.7,29.6,97.79
29.54,45.53,24.42,97.61
28.26,45.86,21.43,97.54
29.36,45.64,22.58,97.59
30.4,44.92,27.84,97.6
31.9,44.31,33.0,97.61
31.04,43.07,34.83,97.5
30.99,40.99,38.54,97.43
29.38,37.48,53.61,97.48
27.79,38.39,58.95,97.56
27.89,32.63,74.29,97.43
27.03,36.71,60.04,97.28
28.0,38.45,58.38,97.48
28.35,40.62,51.18,97.58
29.52,40.04,49.49,97.48
29.28,39.74,53.1,97.29
28.78,39.27,51.05,97.28
29.75,38.92,51.69,97.52
29.3,38.88,53.01,97.72
29.67,40.1,49.95,97.61
29.54,37.72,54.03,97.49
28.09,37.74,64.5,97.28
26.29,30.12,87.23,97.31
25.79,34.86,77.51,97.46
26.75,37.39,65.92,97.41
27.46,37.14,67.72,97.49
27.78,37.77,67.07,97.47
27.96,38.71,64.29,97.36
28.32,35.35,72.98,97.33
28.46,32.76,77.23,97.44
27.61,35.51,74.09,97.45
27.61,36.06,72.77,97.55
26.04,28.82,92.25,97.72
25.39,34.42,79.95,97.7
26.39,34.99,81.01,97.7
26.77,34.29,79.71,97.66
25.99,32.89,82.29,97.51
25.39,32.28,84.37,97.48
25.94,31.97,86.19,97.63
25.52,32.05,82.36,97.82
25.39,31.46,81.75,97.65
24.89,32.53,82.24,97.45
25.8,35.43,73.19,97.41
24.52,27.89,88.71,97.74
24.09,34.43,79.2,97.54
26.12,29.1,92.4,97.31
25.92,34.01,82.17,97.16
27.4,35.26,78.02,97.13
28.11,35.09,78.39,97.22
27.68,35.5,74.34,97.22
27.62,33.6,80.08,97.22
26.26,29.14,92.66,97.34
25.86,32.06,87.92,97.38
26.24,31.52,88.67,97.49
